timestamp,width,height,filename,steering_angle,steering_angle_velocity,Speed,Acceleration,drive_jerk,extension,new_filepath
1,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/1.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
2,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/2.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
3,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/3.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
4,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/4.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
5,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/5.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
6,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/6.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
7,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/7.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
8,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/8.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
9,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/9.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
10,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/10.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
11,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/11.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
12,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/12.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
13,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/13.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
14,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/14.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
15,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/15.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
16,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/16.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
17,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/17.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
18,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/18.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
19,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/19.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
20,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/20.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
21,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/21.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
22,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/22.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
23,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/23.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
24,640,480,/home/haritha/catkin_ws/src/robot_control/images/images_bagfile/bagfile_4/camera1_images/24.png,0,1,5,1,1,.png,C:\Images\camera_images\bagfile_4\camera1_images
